LED1  voltage,photoresistor  voltage,Time,LED2  voltage,photoresistor  voltage,Time,LED3  voltage,photoresistor  voltage,Time
1500,0,Sat Oct  5 20:59:48 2024,1500,0,Sat Oct  5 21:42:46 2024,1500,0,Sat Oct  5 22:03:22 2024
1520,0,Sat Oct  5 20:59:57 2024,1520,0,Sat Oct  5 21:42:54 2024,1520,0,Sat Oct  5 22:03:31 2024
1540,0,Sat Oct  5 21:00:05 2024,1540,0,Sat Oct  5 21:43:03 2024,1540,0,Sat Oct  5 22:03:39 2024
1560,0,Sat Oct  5 21:00:14 2024,1560,0,Sat Oct  5 21:43:11 2024,1560,0,Sat Oct  5 22:03:48 2024
1580,0,Sat Oct  5 21:00:22 2024,1580,0,Sat Oct  5 21:43:20 2024,1580,0,Sat Oct  5 22:03:56 2024
1600,0,Sat Oct  5 21:00:31 2024,1600,0,Sat Oct  5 21:43:28 2024,1600,0,Sat Oct  5 22:04:05 2024
1620,0,Sat Oct  5 21:00:39 2024,1620,0,Sat Oct  5 21:43:37 2024,1620,1,Sat Oct  5 22:04:13 2024
1640,0,Sat Oct  5 21:00:48 2024,1640,12,Sat Oct  5 21:43:45 2024,1640,28,Sat Oct  5 22:04:22 2024
1660,7,Sat Oct  5 21:00:56 2024,1660,103,Sat Oct  5 21:43:54 2024,1660,155,Sat Oct  5 22:04:30 2024
1680,24,Sat Oct  5 21:01:05 2024,1680,154,Sat Oct  5 21:44:02 2024,1680,223,Sat Oct  5 22:04:39 2024
1700,69,Sat Oct  5 21:01:13 2024,1700,305,Sat Oct  5 21:44:11 2024,1700,379,Sat Oct  5 22:04:47 2024
1720,98,Sat Oct  5 21:01:22 2024,1720,408,Sat Oct  5 21:44:19 2024,1720,478,Sat Oct  5 22:04:56 2024
1740,165,Sat Oct  5 21:01:30 2024,1740,643,Sat Oct  5 21:44:28 2024,1740,705,Sat Oct  5 22:05:04 2024
1760,257,Sat Oct  5 21:01:39 2024,1760,932,Sat Oct  5 21:44:36 2024,1760,958,Sat Oct  5 22:05:13 2024
1780,304,Sat Oct  5 21:01:47 2024,1780,1075,Sat Oct  5 21:44:45 2024,1780,1075,Sat Oct  5 22:05:21 2024
